Consumer;Product;Informed.liking;Information;Gender;Age
1;1;5;1;1;46
1;1;5;2;1;46
1;2;4;1;1;46
1;2;4;2;1;46
1;3;4;1;1;46
1;3;6;2;1;46
1;4;6;1;1;46
1;4;6;2;1;46
2;1;5;1;2;48
2;1;5;2;2;48
2;2;8;1;2;48
2;2;9;2;2;48
2;3;8;1;2;48
2;3;8;2;2;48
2;4;7;1;2;48
2;4;7;2;2;48
3;1;7;1;1;62
3;1;7;2;1;62
3;2;3;1;1;62
3;2;7;2;1;62
3;3;7;1;1;62
3;3;8;2;1;62
3;4;8;1;1;62
3;4;4;2;1;62
4;1;7;1;1;53
4;1;7;2;1;53
4;2;3;1;1;53
4;2;2;2;1;53
4;3;5;1;1;53
4;3;5;2;1;53
4;4;5;1;1;53
4;4;6;2;1;53
5;1;3;1;2;50
5;1;5;2;2;50
5;2;3;1;2;50
5;2;3;2;2;50
5;3;5;1;2;50
5;3;7;2;2;50
5;4;7;1;2;50
5;4;6;2;2;50
6;1;5;1;1;52
6;1;5;2;1;52
6;2;5;1;1;52
6;2;4;2;1;52
6;3;8;1;1;52
6;3;8;2;1;52
6;4;3;1;1;52
6;4;7;2;1;52
7;1;9;1;2;38
7;1;8;2;2;38
7;2;1;1;2;38
7;2;2;2;2;38
7;3;7;1;2;38
7;3;8;2;2;38
7;4;4;1;2;38
7;4;3;2;2;38
8;1;6;1;1;35
8;1;7;2;1;35
8;2;5;1;1;35
8;2;6;2;1;35
8;3;6;1;1;35
8;3;9;2;1;35
8;4;8;1;1;35
8;4;8;2;1;35
9;1;6;1;1;62
9;1;7;2;1;62
9;2;5;1;1;62
9;2;6;2;1;62
9;3;8;1;1;62
9;3;8;2;1;62
9;4;5;1;1;62
9;4;8;2;1;62
10;1;6;1;1;44
10;1;5;2;1;44
10;2;8;1;1;44
10;2;9;2;1;44
10;3;7;1;1;44
10;3;9;2;1;44
10;4;7;1;1;44
10;4;7;2;1;44
11;1;9;1;2;41
11;1;9;2;2;41
11;2;1;1;2;41
11;2;1;2;2;41
11;3;9;1;2;41
11;3;3;2;2;41
11;4;7;1;2;41
11;4;6;2;2;41
12;1;3;1;2;31
12;1;3;2;2;31
12;2;1;1;2;31
12;2;1;2;2;31
12;3;6;1;2;31
12;3;7;2;2;31
